pfr_id,full_name
BeavWi00,Willie Beavers
GossCo00,Colby Gossett
CowaRa00,Rashaad Coward
MayfJa00,Jalen Mayfield
NA,Ryan Neuzil
DalmDr00,Drew Dalman
NA,Rick Leonard
GonoMa00,Matt Gono
MorsTh00,Thomas Morstead
NA,Dom Maggio
BarkMa00,Matt Barkley
NA,Feleipe Franks
RoseJo01,Josh Rosen
RyanMa00,Matt Ryan
McCaA.00,AJ McCarron
NA,Caleb Huntley
DaviMi01,Mike Davis
OlliQa00,Qadree Ollison
PattCo00,Cordarrelle Patterson
HawkJa00,Jaylinn Hawkins
MattJa00,Jake Matthews
McGaKa00,Kaleb McGary
GrahJa01,Jaeden Graham
NA,Brayden Lenius
HelmDa01,Daniel Helm
HursHa00,Hayden Hurst
HessPa00,Parker Hesse
SmitLe00,Lee Smith
NA,Ryan Becker
PittKy00,Kyle Pitts
BlakCh00,Christian Blake
NA,Garrett Scantling
SharTa00,Tajae Sharpe
HansCh00,Chad Hansen
ZaccOl01,Olamide Zaccheaus
RidlCa00,Calvin Ridley
DarbFr00,Frank Darby
GageRu00,Russell Gage
NA,Austin Trammell
RedmAd00,Adam Redmond
ColoTr01,Trystan Colon
WorlDa00,Daryl Worley
SmitJi03,Jimmy Smith
DorsKh00,Khalil Dorsey
WestCh03,Chris Westry
AverAn00,Anthony Averett
PeteMa00,Marcus Peters
HumpMa00,Marlon Humphrey
YounTa01,Tavon Young
ToliKe00,Kevin Toliver
JackRo00,Robert Jackson
MarsIm00,Iman Marshall
SeymKe00,Kevon Seymour
LeviAn00,Anthony Levine
JeffTo00,Tony Jefferson
WilkMa00,Mazzi Wilkins
ElliDe02,DeShon Elliott
RichJo00,Jordan Richards
StepBr01,Brandon Stephens
ClarCh00,Chuck Clark
NA,Ar'Darius Washington
StonGe00,Geno Stone
CampCa99,Calais Campbell
WolfDe00,Derek Wolfe
ElliJu01,Justin Ellis
McKeKa00,Reginald McKenzie
MackIs00,Isaiah Mack
NA,Xavier Kelly
WashBr01,Broderick Washington
WillBr02,Brandon Williams
MaduJu00,Justin Madubuike
NA,Ben Mason
RicaPa00,Patrick Ricard
NA,Daniel Henry
PhilTy00,Tyre Phillips
PoweBe00,Ben Powers
NA,Ben Cleveland
TuckJu00,Justin Tucker
HarrMa06,Malik Harrison
HayeDa00,Daelin Hayes
QueePa00,Patrick Queen
FortL.00,L.J. Fort
FergJa02,Jaylon Ferguson
McPhPe00,Pernell McPhee
HousJu00,Justin Houston
WelcKr00,Kristian Welch
ByneJo00,Josh Bynes
OwehJa00,Odafe Oweh
BoarCh00,Chris Board
BowsTy00,Tyus Bowser
NA,Nick Moore
ZeitKe00,Kevin Zeitler
BozeBr00,Bradley Bozeman
NA,James Murray
MekaPa00,Patrick Mekari
VillAl00,Alejandro Villanueva
JameJa01,Ja'Wuan James
KochSa20,Sam Koch
NA,Aaron Bailey
NA,Zach Terrell
HuntTy01,Tyler Huntley
JackLa00,Lamar Jackson
JohnJo05,Josh Johnson
NA,Nate McCrary
DobbJK00,J.K. Dobbins
FreeDe00,Devonta Freeman
WillTy01,Ty'Son Williams
MurrLa00,Latavius Murray
NA,Jacques Patrick
EdwaGu00,Gus Edwards
HillJu00,Justice Hill
StanRo00,Ronnie Stanley
SharDa02,David Sharpe
JoneJa09,Jaryd Jones-Smith
NA,Tony Poljan
AndrMa00,Mark Andrews
TomlEr01,Eric Tomlinson
OlivJo00,Josh Oliver
NA,Barrett Burns
BoylNi00,Nick Boyle
NA,Binjimen Victor
WallTy00,Tylan Wallace
BateRa00,Rashod Bateman
WatkSa00,Sammy Watkins
BrowMa04,Marquise Brown
ProcJa00,James Proche
NA,Jaylon Moore
DuveDe00,Devin Duvernay
BoykMi00,Miles Boykin
MorsMi00,Mitch Morse
NealSi00,Siran Neal
JohnTa01,Taron Johnson
HarrTi01,Tim Harris
WallLe00,Levi Wallace
JackDa02,Dane Jackson
WhitTr01,Tre'Davious White
LewiCa00,Cameron Lewis
NA,Olaijah Griffin
NA,Nick McCloud
HydeMi00,Micah Hyde
JohnJa11,Jaquan Johnson
PoyeJo00,Jordan Poyer
NA,Josh Thomas
HamlDa00,Damar Hamlin
LoveMi00,Mike Love
AddiMa00,Mario Addison
ObadEf00,Efe Obada
RousGr00,Greg Rousseau
NA,Bryan Cox
EpenAJ00,A.J. Epenesa
BashCa00,Boogie Basham
HughJe99,Jerry Hughes
BryaBr00,Brandin Bryant
PhilHa00,Harrison Phillips
ZimmJu00,Justin Zimmer
ButlVe00,Vernon Butler
AnkoEl00,Eli Ankou
LotuSt00,Star Lotulelei
OlivEd00,Ed Oliver
GillRe00,Reggie Gilliam
BassTy00,Tyler Bass
KleiAJ00,A.J. Klein
MilaMa00,Matt Milano
EdmuTr01,Tremaine Edmunds
GileJo01,Joe Giles-Harris
DodsTy01,Tyrel Dodson
MataTy00,Tyler Matakevich
SmitAn04,Andre Smith
FergRe00,Reid Ferguson
BoetIk00,Ike Boettger
FeliJo00,Jon Feliciano
FordCo00,Cody Ford
NA,Evin Ksiezarczyk
NA,Jacob Capra
WillDa06,Daryl Williams
BateRy02,Ryan Bates
BrowSp00,Spencer Brown
DawkDi00,Dion Dawkins
NA,Tommy Doyle
HaacMa00,Matt Haack
AlleJo02,Josh Allen
TrubMi00,Mitchell Trubisky
JoneTa00,Taiwan Jones
MossZa00,Zack Moss
BreiMa00,Matt Breida
SingDe00,Devin Singletary
HartBo00,Bobby Hart
NA,Quintin Morris
KnoxDa00,Dawson Knox
SweeTo00,Tommy Sweeney
KumeJa00,Jake Kumerow
McKeIs00,Isaiah McKenzie
SandEm00,Emmanuel Sanders
DiggSt00,Stefon Diggs
DaviGa01,Gabriel Davis
BeasCo00,Cole Beasley
NA,Marquez Stevenson
NA,Isaiah Hodgins
GentTa00,Tanner Gentry
TeckSa00,Sam Tecklenburg
ParaMa00,Matt Paradis
HendCJ00,C.J. Henderson
HarpMa00,Madre Harper
PridTr00,Troy Pride
JackDo02,Donte Jackson
GilmSt00,Stephon Gilmore
MelvRa00,Rashaan Melvin
BouyA.00,A.J. Bouye
TaylKe03,Keith Taylor
ThomSt00,Stantley Thomas-Oliver
HornJa00,Jaycee Horn
RobiKe02,Kenny Robinson
HartMy00,Myles Hartsfield
FranSa00,Sam Franklin
ChinJe00,Jeremy Chinn
ChanSe00,Sean Chandler
NA,J.T. Ibe
BurrJu00,Juston Burris
MoorDa01,Damontre Moore
BurnBr00,Brian Burns
NA,Kendall Donnerson
HerrFr00,Frank Herron
JackJo02,Joe Jackson
GrosYe00,Yetur Gross-Matos
HaynMa01,Marquis Haynes
NA,Azur Kamara
JohnDa10,Darryl Johnson
FoxxMo00,Morgan Fox
LarkAu00,Austin Larkin
BrowDe05,Derrick Brown
NA,Phil Hoskins
NixoDa00,Daviyon Nixon
RoyxBr00,Bravvion Roy
JoneDa04,DaQuan Jones
NA,Mason Stokke
RiccGi00,Giovanni Ricci
MillJo04,John Miller
NA,Michael Jordan
NA,Mike Horton
NA,Deonte Brown
DaleDe00,Dennis Daley
ElflPa00,Pat Elflein
NA,Lirim Hajrullahu
GonzZa00,Zane Gonzalez
NA,Alex Kessman
MartKa01,Kamal Martin
TuioJa00,Jacob Tuioti-Mariner
LuvuFr00,Frankie Luvu
CartJe00,Jermaine Carter
StanJu00,Julian Stanford
ReddHa00,Haason Reddick
ThomSh01,Shaq Thompson
NA,Thomas Fletcher
JansJ.00,J.J. Jansen
NA,Austen Pleasants
NA,Aaron Monteiro
EdwaLa01,Lachlan Edwards
WalkPh00,Phillip Walker
NewtCa00,Cam Newton
DarnSa00,Sam Darnold
HubbCh01,Chuba Hubbard
McCaCh01,Christian McCaffrey
BrowSp01,Spencer Brown
BradDa00,Darius Bradwell
AbduAm00,Ameer Abdullah
ScotTr01,Trenton Scott
ChriBr00,Brady Christensen
ErviCa00,Cameron Erving
MotoTa00,Taylor Moton
ThomCo03,Colin Thompson
NA,Wyatt Houston
ThomIa00,Ian Thomas
TremTo00,Tommy Tremble
SullSt00,Stephen Sullivan
NA,Aaron Parker
NA,Micah Simon
ZylsBr00,Brandon Zylstra
SmitSh03,Shi Smith
MarsTe00,Terrace Marshall
MoorD.00,DJ Moore
KirkKe00,Keith Kirkwood
NA,C.J. Saunders
EricAl01,Alex Erickson
SneaWi00,Willie Snead
AndeRo04,Robby Anderson
NA,Lamar Jackson
NA,Michael Joseph
KeyeTh00,Thakarius Keyes
JackEd01,Eddie Jackson
NA,Thomas Graham
JohnJa13,Jaylon Johnson
GipsTa00,Tashaun Gipson
BurnAr00,Artie Burns
VildKi00,Kindle Vildor
CrawXa00,Xavier Crawford
ShelDu00,Duke Shelley
TaboTe00,Teez Tabor
HousDe00,DeAndre Houston-Carson
ChriMa00,Marqui Christian
BushDe00,Deon Bush
HuntMa00,Margus Hunt
BlacAn00,Angelo Blackson
EdwaMa01,Mario Edwards
TongKh00,Khyiris Tonga
NichBi00,Bilal Nichols
NA,LaCale London
AlufAu00,Auzoyah Alufohai
HickAk00,Akiem Hicks
GoldEd00,Eddie Goldman
SantCa01,Cairo Santos
JoneCh05,Christian Jones
TrevDa00,Danny Trevathan
OgleAl00,Alec Ogletree
AttaJe00,Jeremiah Attaochu
NA,Joe Thomas
DawkNo00,Noah Dawkins
QuinRo00,Robert Quinn
MarsCa00,Cassius Marsh
SmitRo07,Roquan Smith
MackKh00,Khalil Mack
IyieJo00,Joel Iyiegbuniwe
NA,Sam Kamara
NA,Charles Snowden
IrviBr00,Bruce Irvin
GipsTr00,Trevis Gipson
JohnCa04,Caleb Johnson
NA,Ledarius Mack
BrinBe00,Beau Brinkley
ScalPa00,Patrick Scales
DaniJa01,James Daniels
BoroLa00,Larry Borom
NA,Lachavious Simmons
PeteJa21,Jason Peters
IfedGe00,Germain Ifedi
BarsAl01,Alex Bars
WilkEl00,Elijah Wilkinson
MustSa01,Sam Mustipher
NA,Tyrone Wheatley
NA,Teven Jenkins
WhitCo03,Cody Whitehair
EiseDi00,Dieter Eiselen
ODonPa00,Pat O'Donnell
WinsRy00,Ryan Winslow
NA,Ryan Willis
FoleNi00,Nick Foles
FielJu00,Justin Fields
DaltAn00,Andy Dalton
MontDa01,David Montgomery
WillDa05,Damien Williams
NallRy00,Ryan Nall
CoheTa00,Tarik Cohen
HerbKh00,Khalil Herbert
KmetCo00,Cole Kmet
NA,Franko House
GrahJi00,Jimmy Graham
HoltJ.01,J.P. Holtz
JameJe00,Jesse James
HorsJe00,Jesper Horsted
NA,Shaq Roland
WebsNs00,Nsimba Webster
CoulIs00,Isaiah Coulter
MoonDa00,Darnell Mooney
RobiAl02,Allen Robinson
NA,Dazz Newsome
ByrdDa00,Damiere Byrd
NA,Thomas Ives
GoodMa00,Marquise Goodwin
GranJa00,Jakeem Grant
NA,Trey Hill
HopkTr01,Trey Hopkins
GailLa00,Lamont Gaillard
BranJo00,John Brannon
HiltMi01,Mike Hilton
AwuzCh00,Chidobe Awuzie
WaynTr00,Trae Waynes
FlowTr01,Tre Flowers
DaviJa06,Jalen Davis
ApplEl00,Eli Apple
PhilDa02,Darius Phillips
WilsBr01,Brandon Wilson
HargVe00,Vernon Hargreaves
BellVo00,Vonn Bell
BateJe00,Jessie Bates
HendTr01,Trayvon Henderson
NA,Michael Thomas
AlleRi00,Ricardo Allen
KerrZa00,Zach Kerr
HubbSa00,Sam Hubbard
NA,Joseph Ossai
NA,Wyatt Hubert
SampCa00,Cam Sample
KareKh00,Khalid Kareem
SpenNo00,Noah Spence
HendTr00,Trey Hendrickson
RayxWy01,Wyatt Ray
SquaDa00,Damion Square
DaniMi00,Mike Daniels
HillB.00,B.J. Hill
TupoJo00,Josh Tupou
CostDo00,Doug Costin
ShelTy00,Tyler Shelvin
ReadD.00,D.J. Reader
OgunLa00,Larry Ogunjobi
AdenHa00,Hakeem Adeniji
SuthKe00,Keaton Sutherland
NA,D'Ante Smith
SpaiQu00,Quinton Spain
CarmJa00,Jackson Carman
Sua-Xa00,Xavier Su'a-Filo
FryxEl01,Elliott Fry
McPhEv00,Evan McPherson
BachJo01,Joe Bachie
CaliAu00,Austin Calitro
DaviAk01,Akeem Davis-Gaither
JoneKe03,Keandre Jones
BailMa01,Markus Bailey
PratGe00,Germaine Pratt
EvanJo01,Jordan Evans
WilsLo00,Logan Wilson
JohnCl00,Clay Johnston
HolbCo00,Colin Holba
HarrCl20,Clark Harris
NA,Drue Chrisman
HubeKe20,Kevin Huber
BurrJo01,Joe Burrow
AlleBr00,Brandon Allen
NA,Jake Browning
NA,Pooka Williams
MixoJo00,Joe Mixon
PeriSa00,Samaje Perine
WillTr06,Trayveon Williams
HolyEl00,Elijah Holyfield
EvanCh02,Chris Evans
JohnFr01,Fred Johnson
NA,Jonah Williams
PrinIs00,Isaiah Prince
ReifRi00,Riley Reiff
UzomC.00,C.J. Uzomah
WilcMi01,Mitchell Wilcox
SchrMa00,Mason Schreck
SampDr00,Drew Sample
NA,Thaddeus Moss
TateAu00,Auden Tate
TaylTr02,Trent Taylor
ThomMi04,Mike Thomas
NA,Scotty Washington
IrwiTr00,Trenton Irwin
MorgSt02,Stanley Morgan
HiggTe00,Tee Higgins
ChasJa00,Ja'Marr Chase
BoydTy00,Tyler Boyd
HarrNi01,Nick Harris
TretJC00,J.C. Tretter
HillTr01,Troy Hill
GreeAJ00,A.J. Green
WillGr00,Greedy Williams
MillHe01,Herb Miller
WardDe02,Denzel Ward
NewsGr00,Greg Newsome
AlleBr01,Brian Allen
JohnJo10,John Johnson
ColbAd00,Adrian Colbert
HarrRo02,Ronnie Harrison
MeadNa00,Nate Meadors
DelpGr00,Grant Delpit
ThomTe00,Tedric Thompson
LeCoRi00,Richard LeCounte
StewM.00,M.J. Stewart
GustPo01,Porter Gustin
NA,Curtis Weaver
McKiTa00,Takkarist McKinley
ClowJa00,Jadeveon Clowney
GarrMy00,Myles Garrett
OdenIf00,Ifeadi Odenigbo
McDoMa00,Malik McDowell
JackMa02,Malik Jackson
DayxSh00,Sheldon Day
TogiTo00,Tommy Togiai
ElliJo02,Jordan Elliott
JanoAn00,Andy Janovich
StanJo02,Johnny Stanton
FrohHj00,Hjalte Froholdt
TellWy00,Wyatt Teller
NA,David Moore
NA,Chris Blewitt
McLaCh00,Chase McLaughlin
WalkAn01,Anthony Walker
TakiSi00,Sione Takitaki
MeanMo00,Montrel Meander
OwusJe00,Jeremiah Owusu-Koramoah
LeexEl00,Elijah Lee
PhilJa01,Jacob Phillips
WilsMa03,Mack Wilson
HarvWi00,Willie Harvey
SmitMa02,Malcolm Smith
FielTo00,Tony Fields
HughCh01,Charley Hughlett
HancBl00,Blake Hance
ForbDr00,Drew Forbes
DunnMi01,Michael Dunn
BitoJo00,Joel Bitonio
NkanEl00,Elijah Nkansah
WillJe04,Jedrick Wills
NA,James Hudson
ConkJa00,Jack Conklin
ColqDu20,Dustin Colquitt
CharJo01,Joseph Charlton
MullNi00,Nick Mullens
MayfBa00,Baker Mayfield
KeenCa00,Case Keenum
PierAr00,Artavis Pierce
HuntKa00,Kareem Hunt
NA,Tre Harbison
JohnDE04,D'Ernest Johnson
KellJo00,John Kelly
WillDe07,Dexter Williams
ChubNi00,Nick Chubb
FeltDe00,Demetric Felton
NA,Benny LeMay
TaylAl02,Alex Taylor
HubbCh00,Christopher Hubbard
NA,Nick Guggemos
NjokDa00,David Njoku
CarlSt00,Stephen Carlson
BryaHa00,Harrison Bryant
HoopAu00,Austin Hooper
NA,Miller Forristall
PeopDo00,Donovan Peoples-Jones
LandJa00,Jarvis Landry
SwitRy00,Ryan Switzer
HiggRa00,Rashard Higgins
BradJa01,Ja'Marcus Bradley
SchwAn00,Anthony Schwartz
NA,Braylon Jones
BiadTy00,Tyler Biadasz
RobiRe00,Reggie Robinson
CanaMa00,Maurice Canady
JoseKe02,Kelvin Joseph
DiggTr00,Trevon Diggs
BrowKy00,Kyron Brown
LewiJo01,Jourdan Lewis
GoodC.00,C.J. Goodwin
WrigNa00,Nahshon Wright
NA,Michael Coe
BrowAn02,Anthony Brown
KearJa00,Jayron Kearse
KazeDa00,Damontae Kazee
NA,Tyler Coyle
ThomDa05,Darian Thompson
HookMa00,Malik Hooker
WilsDo01,Donovan Wilson
MukuIs00,Israel Mukuamu
WatkCa00,Carlos Watkins
BashTa00,Tarell Basham
GolsCh00,Chauncey Golston
ArmsDo00,Dorance Armstrong
UrbaBr00,Brent Urban
GregRa00,Randy Gregory
LawrDe00,Demarcus Lawrence
NA,Austin Faoliu
GallNe00,Neville Gallimore
NA,Josiah Bronson
HillTr00,Trysten Hill
BohaQu00,Quinton Bohanna
OdigOs00,Osa Odighizuwa
OlonSe01,Sewo Olonilua
MartZa00,Zack Martin
NA,Connor McGovern
WillCo00,Connor Williams
FarnMa00,Matt Farniok
NA,Chris Naggar
ZuerGr00,Greg Zuerlein
VandLe00,Leighton Vander Esch
NealKe01,Keanu Neal
CoxxJa00,Jabril Cox
BondDe00,Devante Bond
ParsMi00,Micah Parsons
GiffLu00,Luke Gifford
BernFr01,Francis Bernard
McQuJa00,Jake McQuaide
NA,Mitch Hyatt
NA,Josh Ball
NA,Isaac Alarcon
NiswJa00,Hunter Niswander
AngeBr00,Bryan Anger
GrieWi00,Will Grier
DiNuBe00,Ben DiNucci
RushCo00,Cooper Rush
PresDa01,Dak Prescott
ClemCo00,Corey Clement
NA,Nick Ralston
ElliEz00,Ezekiel Elliott
PollTo00,Tony Pollard
DowdRi01,Rico Dowdle
SmitIt00,Ito Smith
NA,JaQuan Hardy
NsekTy00,Ty Nsekhe
CollAv00,Aviante Collins
SmitTy00,Tyron Smith
SteeTe01,Terence Steele
CollLa01,La'el Collins
SchuDa00,Dalton Schultz
NA,Ian Bunting
SpriJe00,Jeremy Sprinkle
McKeSe01,Sean McKeon
JarwBl00,Blake Jarwin
BrowNo00,Noah Brown
NA,Brandon Smith
WilsCe01,Cedrick Wilson
FostRo01,Robert Foster
CoopAm00,Amari Cooper
NA,Osirus Mitchell
TurnMa00,Malik Turner
FehoSi00,Simi Fehoko
NA,T.J. Vasher
GallMi00,Michael Gallup
LambCe00,CeeDee Lamb
CushLl00,Lloyd Cushenberry
JoneBr04,Brett Jones
BassEs01,Essang Bassey
OjemMi00,Michael Ojemudia
DarbRo00,Ronald Darby
DawsDu00,Duke Dawson
SurtPa01,Patrick Surtain
HairNa00,Nate Hairston
FullKy00,Kyle Fuller
CallBr00,Bryce Callahan
NA,Rojesterman Farris
NA,Jamar Johnson
SimmJu00,Justin Simmons
LockPJ00,P.J. Locke
JackKa99,Kareem Jackson
SterCa00,Caden Sterns
ClinHa00,Ha Ha Clinton-Dix
FordMi01,Mike Ford
JoneDr00,Dre'Mont Jones
HarrSh00,Shelby Harris
NA,Marquiss Spencer
NA,Jonathan Kongbo
NA,Aaron Patrick
NA,Justin Hamilton
StepSh00,Shamar Stephen
SpenAk00,Akeem Spence
WillDe04,DeShawn Williams
AgimMc00,McTelvin Agim
HarrJo05,Jonathan Harris
BeckAn01,Andrew Beck
SchlAu00,Austin Schlottmann
RisnDa00,Dalton Risner
MutiNe00,Netane Muti
GlasGr00,Graham Glasgow
NA,Tristen Hoge
McMaBr01,Brandon McManus
WeatSt00,Stephen Weatherly
NA,Barrington Wade
JeweJo00,Josey Jewell
YounKe03,Kenny Young
NA,A.J. Johnson
KiseMi00,Micah Kiser
PatrNa00,Natrez Patrick
BrowBa01,Baron Browning
ReedMa01,Malik Reed
CoopJo02,Jonathon Cooper
GrifJo01,Jonas Griffith
StrnJu00,Justin Strnad
ChubBr00,Bradley Chubb
MintAn00,Andre Mintze
BobeJa00,Jacob Bobenmoyer
PurcMi00,Mike Purcell
NA,Quinn Meinerz
NA,Cody Conway
NA,Zack Johnson
NA,Josh Banderas
BailQu00,Quinn Bailey
NA,Drew Himmelman
BollGa00,Garett Bolles
MartSa01,Sam Martin
NA,Corliss Waitman
BridTe00,Teddy Bridgewater
NA,Anthony Gordon
RypiBr00,Brett Rypien
LockDr00,Drew Lock
WillJa10,Javonte Williams
CrocDa01,Damarea Crockett
BoonMi00,Mike Boone
KillAd00,Adrian Killins
GordMe00,Melvin Gordon
FlemCa00,Cameron Fleming
AndeCa00,Calvin Anderson
MassBo00,Bobby Massie
NA,Casey Tucker
FantNo00,Noah Fant
NA,Shaun Beyer
OkwuAl00,Albert Okwuegbunam
WilsCa00,Caleb Wilson
SaubEr00,Eric Saubert
HamiDa01,DaeSean Hamilton
HamlKJ00,KJ Hamler
SuttCo00,Courtland Sutton
ClevTy00,Tyrie Cleveland
FulgTr00,Travis Fulgham
HintKe00,Kendall Hinton
PatrTi00,Tim Patrick
SpenDi00,Diontae Spencer
NA,Seth Williams
JeudJe00,Jerry Jeudy
NA,Ryan McCollum
BrowEv00,Evan Brown
RagnFr00,Frank Ragnow
ParkAJ00,AJ Parker
MotlPa00,Parnell Motley
OkudJe00,Jeff Okudah
MeliIf00,Ifeatu Melifonwu
SmitSa02,Saivion Smith
OruwAm00,Amani Oruwariye
JacoJe00,Jerry Jacobs
NA,Mark Gilbert
NA,D'Angelo Amos
MarlDe00,Dean Marlowe
HughJu00,JuJu Hughes
PricBo00,Bobby Price
BreeBr00,Brady Breeze
WalkTr01,Tracy Walker
HarrWi02,Will Harris
NA,Jalen Elliott
MoorCJ01,C.J. Moore
OnwuLe00,Levi Onwuzurike
BankEr00,Eric Banks
HectBr00,Bruce Hector
BrocMi00,Michael Brockers
HeatJo00,Joel Heath
WillNi01,Nicholas Williams
CornJa01,Jashon Cornell
CabiJa00,Jason Cabinda
StenLo00,Logan Stenberg
NA,Tommy Kraemer
VaitHa00,Halapoulivaati Vaitai
JackJo03,Jonah Jackson
NA,Riley Patterson
RosaAl00,Aldrick Rosas
SeibAu00,Austin Seibert
NA,Curtis Bolton
ReevJa00,Jalen Reeves-Maybin
BerrRa01,Rashod Berry
DionSh00,Shaun Dion Hamilton
HarrCh03,Charles Harris
NA,Tavante Beckett
PittAn01,Anthony Pittman
BryaAu00,Austin Bryant
OkwaRo01,Romeo Okwara
WoodJo02,Josh Woods
OkwaJu00,Julian Okwara
BarnDe02,Derrick Barnes
LemoJe00,Jessie Lemonier
AnzaAl00,Alex Anzalone
FlowTr00,Trey Flowers
DalySc01,Scott Daly
McNeAl00,Alim McNeill
PeniJo00,John Penisini
FoxxJa01,Jack Fox
BlouDa00,David Blough
GoffJa00,Jared Goff
BoylTi00,Tim Boyle
NA,Steven Montez
WarrMi01,Michael Warren
IgweGo00,Godwin Igwebuike
WillJa06,Jamaal Williams
ReynCr00,Craig Reynolds
JeffJe00,Jermar Jefferson
SwifDA00,D'Andre Swift
HoldWi00,Will Holden
NelsMa00,Matt Nelson
DeckTa00,Taylor Decker
SewePe00,Penei Sewell
SkipDa00,Dan Skipper
SokoMa00,Matt Sokol
NA,Jared Pinkney
NA,Shane Zylstra
NA,Brock Wright
ThomJo05,Jordan Thomas
BryaHu02,Hunter Bryant
HockTJ00,T.J. Hockenson
NA,Javon McKinley
KennTo01,Tom Kennedy
StxxAm00,Amon-Ra St. Brown
CephQu00,Quintez Cephus
ReynJo00,Josh Reynolds
HodgKh00,Khadarel Hodge
RaymKa00,Kalif Raymond
BensTr00,Trinity Benson
NA,Jake Hanson
KingKe01,Kevin King
StokEr00,Eric Stokes
NA,Shemar Jean-Charles
NA,Kiondre Thomas
SullCh00,Chandon Sullivan
YiadIs00,Isaac Yiadom
DougRa00,Rasul Douglas
NA,Kabion Ento
AlexJa00,Jaire Alexander
ScotVe00,Vernon Scott
SavaDa00,Darnell Savage
AmosAd00,Adrian Amos
NA,Innis Gaines
BlacHe00,Henry Black
NA,Shawn Davis
LowrDe00,Dean Lowry
AndeAb00,Abdullah Anderson
ClarKe01,Kenny Clark
NA,Jack Heflin
LancTy00,Tyler Lancaster
SlatTe00,T.J. Slaton
